,string,count,group
3134,Commissionaires,4,commissionaires
3135,Coalition of Canadian Airlines,4,coalition of canadian airlines
3136,Therapure Biopharma,4,therapure biopharma
3137,Ernst & Young LLP,4,ernst and young llp
3138,Canadian Health Coalition,4,canadian health coalition
3139,Highway 3 Twinning Development Association,4,highway 3 twinning development association
3140,Aspin Kemp & Associates Inc.,4,aspin kemp & associates inc.
3141,CANADIAN OIL SANDS LIMITED,4,canadian oil sands limited
3142,Multistates Associates Inc.,4,multistates associates inc.
3143,Mission Ready Services Inc.,4,mission ready services inc.
3144,Constance Lake First Nation,4,constance lake first nation
3145,Illumisoft Lighting,4,illumisoft lighting
3146,Globalfaces Direct,4,globalfaces direct
3147,"Shillers, LLP",4,"shillers, llp"
3148,Allen Vanguard Corporation,4,allen vanguard corporation
3149,Ottawa Special Events,4,ottawa special events
3150,Canadian Alliance on Mental Illness and Mental Health,4,canadian alliance on mental illness and mental health
3151,NorTerra Inc,4,norterra inc
3152,Nordion,4,nordion
3153,Caesars Entertainment,4,caesars entertainment
3154,Brookfield Global Relocation Services,4,brookfield global relocation services
3155,Parc éolien Nicolas-Riou S.E.C.,4,parc eolien nicolas-riou s.e.c.
3156,Netsecure Technologies Ltd.,4,netsecure technologies ltd.
3157,Distributed Compute Labs,4,distributed compute labs
3158,Knightsbridge Human Capital Solutions,4,knightsbridge human capital solutions
3159,MasonryWorx,4,masonryworx
3160,Way2Grow Nurseries Ltd,4,way2grow nurseries ltd
3161,"Exelis International, Inc",4,exelis
3162,McDonald's Restaurants of Canada,4,mcdonald's restaurants of canada
3163,The Friends of Freedom International,4,the friends of freedom international
3164,Terlin Construction,4,terlin construction
3165,Mitsubishi Tanabe Pharma Canada Inc.,4,mitsubishi tanabe pharma
3166,Huntington Ingalls Industries,4,huntington ingalls industries
3167,Gay Lea Foods,4,gay lea foods
3168,Canadian Association of Chain Drug Stores,4,canadian association of chain drug stores
3169,IPEX Management Inc.,4,ipex inc.
3170,Rona Inc.,4,rona inc.
3171,Russian Federation,4,russian federation
3172,Aeras Global TB Vaccine Foundation,4,aeras global tb vaccine foundation
3173,Halifax-Dartmouth Bridge Commission,4,halifax-dartmouth bridge commission
3174,Colleges of Applied Arts and Technology (CAAT) Pension Plan,4,colleges of applied arts and technology (caat) pension plan
3175,First Reserve Corporation,4,first reserve corporation
3176,Tsawout First Nation,4,tsawout first nation
3177,Entos Pharmaceuticals,4,entos pharmaceuticals
3178,COVAXX LLC,4,covaxx llc
3179,AiZtech Canada Inc.,4,aiztech canada inc.
3180,WeedMaps,4,weedmaps
3181,Mobility & Wireless Solutions Inc.,4,mobility & wireless solutions inc.
3182,Canadians For Credit Privacy,4,canadians for credit privacy
3183,"Zillow Group, Inc.",4,"zillow group, inc."
3184,SecureKey Technologies Inc,4,securekey technologies inc
3185,ClevrU Corporation,4,clevru corporation
3186,CFA Societies Canada Inc.,4,cfa societies canada inc.
3187,Nova Waste Solutions Inc,4,nova waste solutions inc
3188,Beleave Inc.,4,beleave inc.
3189,Italpasta Limited,4,italpasta limited
3190,Tiffany Gate Foods Incorporated,4,tiffany gate foods incorporated
3191,Centre for Image-Guided Innovation and Therapeutic Intervention (CIGITI),4,centre for image-guided innovation and therapeutic intervention (cigiti)
3192,Spirits Canada,4,spirits canada
3193,WCC Group,4,wcc group
3194,Glenn Priestley,4,glenn priestley
3195,Mazzetta Company LLC,4,mazzetta company llc
3196,One Earth Farms Corp.,4,one earth farms corp.
3197,Missing Children Society of Canada,4,missing children society of canada
3198,Bird Studies Canada,4,bird studies canada
3199,Wildbrain Ltd.,4,wildbrain ltd.
3200,Self-Governing Indigenous Governments,4,self-governing indigenous governments
3201,Heiltsuk Gladstone Reconciliation Office,4,heiltsuk gladstone reconciliation office
3202,Ecostrat Inc.,4,ecostrat
3203,National Sheep Network,4,national sheep network
3204,"BHE Canada, LP",4,bhe canada l.p.
3205,The Biofuel Project,4,the biofuel project
3206,NATIONAL STEEL CAR LIMITED,4,national steel car
3207,"Novolex Holdings, LLC",4,"novolex holdings, llc"
3208,Food and Consumer Products of Canada,4,food and consumer products of canada
3209,Teva Canada Ltd.,4,teva canada limited
3210,Gulf Islands Seniors' Residence Association,4,gulf islands seniors' residence association
3211,Canadian Independent Recording Artists Association,4,canadian independent recording artists association
3212,Liquid Computing,4,liquid computing
3213,ZENN Motor Company,4,zenn motor company
3214,Hewitt Equipment Ltd.,4,hewitt equipment limited
3215,CanCap Group Inc.,4,cancap group inc.
3216,HTC Purenergy Carbon Clear Solutions,4,htc purenergy inc.
3217,Island Corridor Foundation,4,island corridor foundation
3218,Niagara Seaway Tenant Farmers' Association,4,niagara seaway tenant farmers' association
3219,N-Viro Systems Canada LP,4,n-viro systems canada lp
3220,Junior Achievement Canada – Federal Lobbying Registration,4,junior achievement canada - federal lobbying registration
3221,Kraken Robotics Inc.,4,kraken robotics inc.
3222,PricewaterhouseCoopers LLP,4,pricewaterhousecoopers llp
3223,"Proterra, Inc.",4,"proterra, inc."
3224,Hanwha Defense International,4,hanwha defense international
3225,WesPac Midstream - Vancouver LLC,4,wespac midstream - vancouver llc
3226,Boehringer Ingelheim,4,boehringer ingelheim
3227,Six Nations Cannabis Commission,4,six nations cannabis commission
3228,Axia NetMedia Corporation,4,axia netmedia corporation
3229,Husky Injection Molding Systems Inc,4,husky injection molding systems inc
3230,Canadian Association of Consulting Quantity Surveyors,4,canadian association of consulting quantity surveyors
3231,National Pork Producers Council,4,national pork producers council
3232,Canadian National Railway Company,4,canadian national railway
3233,Apqak Renewable Energy Inc.,4,apqak renewable energy inc.
3234,Northern Vision Development LP,4,northern vision development lp
3235,Quad Engineering Inc.,4,quad engineering inc.
3236,URS Federal Services (AECOM),4,urs federal services (aecom)
3237,Encanto Potash Corp,4,encanto potash corp
3238,Cooke Aquaculture,4,cooke aquaculture
3239,Language Industry Association,4,language industry association
3240,L3 Communications Security and Detection Systems,4,l3 technologies canada inc.
3241,Canadian National Railway,4,canadian national railway
3242,Kongsberg Protech Systems Canada,4,kongsberg defence systems
3243,Nauticol,4,nauticol
3244,Cannmart Inc.,4,cannmart inc.
3245,Mosaic Forest Management Corporation,4,mosaic forest management corp.
3246,Bell Pensioners' Group (BPG),4,bell pensioners group
3247,Climate Change and Emissions Management Corporation (CCEMC),4,climate change and emissions management corporation
3248,The Century Initiative,4,the century initiative
3249,Calgary Science Centre Society (operating as Telus Spark),4,calgary science centre society (operating as telus spark)
3250,Heliene,4,heliene
3251,International Commodities Export Corporation (ICEC) CANADA LTD,4,international commodities export corporation (icec) canada ltd
3252,Clairvest,4,clairvest
3253,Canada Learning Code,4,canada learning code
3254,Iogen Corporation,4,iogen corporation
3255,Canadian Remote Power Corporation,4,canadian remote power corporation
3256,MindFuel,4,mindfuel
3257,SITA,4,sita
3258,CANADIAN ENERGY PIPELINE ASSOCIATION,4,canadian energy pipeline association
3259,Association of Atlantic Universities,4,association of atlantic universities
3260,Emblem,4,emblem
3261,Canadian Water Network,4,canadian water network
3262,Trademark East Africa,4,trademark east africa
3263,Archdiocese of Toronto,4,archdiocese of toronto
3264,Juvenile Products Manufacturers Association,4,juvenile products manufacturers association
3265,University of Prince Edward Island,4,university of prince edward island
3266,Canadian Cancer Survivor Network,4,canadian cancer survivor network
3267,South Essex Fabricating,4,south essex fabricating
3268,Canadian Standards Association,4,canadian standards association
3269,"Andretti Green Toronto, ULC",4,"andretti green toronto, ulc"
3270,Lost Canadians - Don Chapman,4,lost canadians - don chapman
3271,Lac La Ronge Indian Band,4,lac la ronge indian band
3272,"Bausch Health, Canada Inc.",4,"bausch health, canada inc."
3273,555 Carrière Holdings Inc.,4,555 carriere holdings inc.
3274,Nsolv Corporation,4,nsolv corporation
3275,InkSmith (DBA The Canadian Shield),4,inksmith (dba the canadian shield)
3276,Canadians for Safe Technology,4,canadians for safe technology
3277,G. Magnotta Foundation for Vector Borne Diseases,4,g. magnotta foundation for vector borne diseases
3278,Innomar Strategies,4,innomar strategies
3279,NexJ Systems,4,nexj systems
3280,AECOM Canada Ltd,4,aecom canada ltd
3281,Meadow Lake Tribal Council,4,meadow lake tribal council
3282,Cambrian College of Applied Arts and Technology,4,cambrian college of applied arts and technology
3283,TD Bank Financial Group,4,td bank financial group
3284,Pengrowth Corporation,4,pengrowth energy corp.
3285,Black Lake First Nation,4,black lake first nation
3286,A.O. Smith Corporation,4,a.o. smith corporation
3287,Tim Hortons,4,tim hortons
3288,Worthington Advisors,4,worthington advisors
3289,CANADIAN ASSOCIATION OF IMPORTERS & EXPORTERS INC,4,canadian association of importers & exporters inc
3290,The Samara Centre for Democracy,4,the samara centre for democracy
3291,Stem Energy Canada,4,stem energy canada
3292,Stewart Title Guaranty Company,4,stewart title guaranty company
3293,ISN Canada,4,isn canada
3294,Pacific Spine Research and Education Foundation,4,pacific spine research and education foundation
3295,Kelvin Zero,4,kelvin zero
3296,N-E Nova Scotia Snow Crab Association,4,n-e nova scotia snow crab association
3297,Integrated CO2 Network (ICON),4,integrated co2 network (ico2n)
3298,Procore Technologies Inc,4,procore technologies inc
3299,Canadian Solar Inc.,4,canadian solar
3300,Bedessee Imports,4,bedessee imports
3301,Nunavut Tunngavik Incorporated,4,nunavut tunngavik incorporated
3302,BC Seniors Living Association,4,bc seniors living association
3303,HDT Global,4,hdt global
3304,Innomar Strategies Inc.,4,innomar strategies
3305,INI Power Systems Inc.,4,ini power systems inc.
3306,Ecostrat,4,ecostrat
3307,Elevate,4,elevate
3308,Landscape Alberta Nursery Trades Association,4,landscape alberta nursery trades association
3309,Purdue Pharma Canada,4,purdue pharma
3310,Servier Canada Inc.,4,servier canada inc.
3311,Canadian Hemp Trade Alliance,4,canadian hemp trade alliance
3312,"international brotherhood of electrical workers union,local 353",4,international brotherhood of electrical workers
3313,Planet Labs Inc.,4,planet labs inc.
3314,Paladin Labs Inc.,4,paladin labs inc.
3315,Living Oceans Society,4,living oceans society
3316,Rio Tinto Canada Management Inc.,4,rio tinto
3317,Information Services Corp,4,information services corporation
3318,Owens Corning LLC,4,owens corning llc
3319,Canadian Federation of Woodlot Owners,4,canadian federation of woodlot owners
3320,Fleet Canada Inc,4,fleet canada inc
3321,TNC Canada,4,tnc canada
3322,Government of the Northwest Territories,4,government of the northwest territories
3323,City of Welland,4,city of welland
3324,Great Lakes & St Lawrence Cities Initiative,4,great lakes and st. lawrence cities initiative
3325,Achieve Energy Services Limited Partnership,4,achieve energy services limited partnership
3326,Plasma Protein Therapeutics Association,4,plasma protein therapeutics association
3327,Swenco Limited,4,swenco limited
3328,ROYAL CONSERVATORY OF MUSIC,4,royal conservatory of music
3329,Sydney Harbour Investment Partners,4,sydney harbour investment partners
3330,LTA Aerostructures,4,lta aerostructures
3331,Siksika Nation,4,siksika nation
3332,ArcticNet Inc.,4,arcticnet inc.
3333,Canadian Pacific Limited,4,canadian pacific railway
3334,Chevron Corp.,4,chevron corp.
3335,Kind Canada,4,kind canada
3336,Ontario Sugarbeet Growers' Association,4,ontario sugarbeet growers' association
3337,Educational Testing Services,4,educational testing service canada inc.
3338,Art Gallery of Greater Victoria,4,art gallery of greater victoria
3339,The Hospital for Sick Children,4,the hospital for sick children
3340,Ontario Association of Non-Profit Homes and Services for Seniors,4,ontario association of non-profit homes and services for seniors
3341,Inuit Tapiriit Kanatami,4,inuit tapiriit kanatami
3342,Mississaugas of the New Credit First Nation,4,mississaugas of the new credit first nation
3343,Baffin Fisheries,4,baffin fisheries
3344,Canadian Drowning Prevention Coalition,4,canadian drowning prevention coalition
3345,Baycrest,4,baycrest
3346,Greenfire Oil and Gas Ltd.,4,greenfire oil and gas ltd.
3347,HudBay Minerals Inc.,4,hudbay minerals inc.
3348,Indigenous Roots,4,indigenous roots
3349,Grain Workers Union Local 333,4,grain workers union local 333
3350,Canadian Hospital Specialties Limited,4,canadian hospital specialties limited
3351,Miziwe Biik Development Corporation,4,miziwe biik development corporation
3352,Municipalité de l'Île-d'Anticosti,4,municipalite de l'ile-d'anticosti
3353,ClearPicture Corporation,4,clearpicture corporation
3354,Walker Environmental Group Inc.,4,walker environmental group inc.
3355,Mercer Peace River Pulp Ltd.,4,mercer peace river pulp ltd.
3356,Sundial Growers Inc.,4,sundial growers inc
3357,Deon Fisheries Atlantic Ltd.,4,deon fisheries atlantic ltd.
3358,Groupement provincial de l'industrie du médicament,4,groupement provincial de l'industrie du medicament
3359,Quebec Federation of Real Estate Boards,4,quebec federation of real estate boards
3360,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),4,international air transport association (iata)
3361,Millar Group,4,millar group
3362,Canadian Biosimilars Forum,4,canadian biosimilars forum
3363,AbbVie Canada,4,abbvie
3364,Coalition for the Diversity of Cultural Expressions (CDCE),3,coalition for the diversity of cultural expressions
